coluna;n_nulos
NU_INSCRICAO;0
NU_ANO;0
TP_FAIXA_ETARIA;0
TP_SEXO;0
TP_ESTADO_CIVIL;0
TP_COR_RACA;0
TP_NACIONALIDADE;0
TP_ST_CONCLUSAO;0
TP_ANO_CONCLUIU;0
TP_ESCOLA;0
TP_ENSINO;650
IN_TREINEIRO;0
CO_MUNICIPIO_ESC;0
NO_MUNICIPIO_ESC;0
CO_UF_ESC;0
SG_UF_ESC;0
TP_DEPENDENCIA_ADM_ESC;0
TP_LOCALIZACAO_ESC;0
TP_SIT_FUNC_ESC;0
CO_MUNICIPIO_PROVA;0
NO_MUNICIPIO_PROVA;0
CO_UF_PROVA;0
SG_UF_PROVA;0
TP_PRESENCA_CN;0
TP_PRESENCA_CH;0
TP_PRESENCA_LC;0
TP_PRESENCA_MT;0
CO_PROVA_CN;0
CO_PROVA_CH;0
CO_PROVA_LC;0
CO_PROVA_MT;0
NU_NOTA_CN;0
NU_NOTA_CH;0
NU_NOTA_LC;0
NU_NOTA_MT;0
TX_RESPOSTAS_CN;0
TX_RESPOSTAS_CH;0
TX_RESPOSTAS_LC;0
TX_RESPOSTAS_MT;0
TP_LINGUA;0
TX_GABARITO_CN;0
TX_GABARITO_CH;0
TX_GABARITO_LC;0
TX_GABARITO_MT;0
TP_STATUS_REDACAO;0
NU_NOTA_COMP1;0
NU_NOTA_COMP2;0
NU_NOTA_COMP3;0
NU_NOTA_COMP4;0
NU_NOTA_COMP5;0
NU_NOTA_REDACAO;0
Q001;0
Q002;0
Q003;0
Q004;0
Q005;0
Q006;0
Q007;0
Q008;0
Q009;0
Q010;0
Q011;0
Q012;0
Q013;0
Q014;0
Q015;0
Q016;0
Q017;0
Q018;0
Q019;0
Q020;0
Q021;0
Q022;0
Q023;0
Q024;0
Q025;0
